DATE,Consommation,Thermique,Nucléaire,Eolien,Solaire,Hydraulique,Pompage,Bioénergies,index,TM,FFM,UM,RR
20200101,5415.604166666667,963.5625,12030.9375,373.2708333333333,10.5,986.8958333333334,-159.29166666666666,119.91666666666667,30528,-1.4,1.9,97.0,0.0
20200102,5896.416666666667,1651.7083333333333,11990.520833333334,770.8333333333334,12.75,991.6666666666666,-107.79166666666667,121.27083333333333,30529,2.0,3.6,95.0,0.0
20200103,5795.541666666667,1251.0,10793.229166666666,2020.75,8.625,898.0833333333334,-116.54166666666667,123.10416666666667,30530,6.3,6.4,91.0,3.4
20200104,5479.083333333333,1079.3333333333333,11697.9375,547.5208333333334,29.75,848.0833333333334,-132.70833333333334,124.08333333333333,30531,3.8,3.1,90.0,0.0
20200105,5355.791666666667,1662.2291666666667,11664.583333333334,75.35416666666667,34.916666666666664,869.6875,-75.27083333333333,123.66666666666667,30532,2.9,1.4,90.0,0.0
20200106,6396.8125,1511.1666666666667,12010.291666666666,840.125,36.0,868.0,-100.10416666666667,122.8125,30533,1.2,3.0,89.0,0.0
20200107,6482.875,1744.0625,11918.479166666666,673.2291666666666,15.916666666666666,890.7708333333334,-145.75,123.45833333333333,30534,3.9,3.8,92.0,0.0
20200108,6418.041666666667,1498.625,11936.0,971.9166666666666,9.020833333333334,868.25,-142.79166666666666,115.375,30535,7.0,4.3,95.0,0.0
20200109,6049.791666666667,982.1458333333334,11104.916666666666,2043.0625,13.5,795.3333333333334,-124.625,122.33333333333333,30536,9.0,6.5,83.0,3.2
20200110,6077.104166666667,1518.3333333333333,12075.520833333334,1535.25,12.208333333333334,837.1666666666666,-137.02083333333334,123.9375,30537,6.6,5.4,89.0,0.8
20200111,5651.645833333333,1221.25,11944.3125,241.29166666666666,21.1875,740.1875,-111.35416666666667,124.85416666666667,30538,3.2,1.7,85.0,0.0
20200112,5551.375,416.625,11503.541666666666,1316.7916666666667,17.0625,700.625,-151.5625,123.29166666666667,30539,3.3,4.8,87.0,0.0
20200113,6119.729166666667,1469.625,12017.166666666666,1177.1666666666667,14.875,788.7708333333334,-117.64583333333333,122.58333333333333,30540,5.3,4.4,90.0,0.0
20200114,6321.333333333333,1155.3541666666667,10966.375,2906.7291666666665,18.8125,711.625,-168.77083333333334,122.79166666666667,30541,8.3,8.3,66.0,0.0
20200115,6073.020833333333,1306.3125,10968.708333333334,2470.8125,47.583333333333336,717.5,-129.52083333333334,121.45833333333333,30542,10.0,7.7,67.0,0.0
20200116,5930.395833333333,1645.3333333333333,11444.1875,1146.9375,54.1875,668.3125,-113.45833333333333,119.60416666666667,30543,8.5,3.7,76.0,0.0
20200117,6122.875,1568.3958333333333,12017.0,1829.9791666666667,10.5,550.3125,-167.70833333333334,120.89583333333333,30544,6.9,5.5,83.0,0.6
20200118,5749.25,1635.8125,12077.833333333334,690.8958333333334,21.625,675.4583333333334,-1.375,120.5,30545,2.2,3.4,90.0,0.2
20200119,5700.5625,1735.9166666666667,11742.104166666666,780.4791666666666,32.833333333333336,657.2291666666666,-36.0,114.0625,30546,0.5,2.9,92.0,0.0
20200120,6363.5625,1894.375,12080.770833333334,1655.125,58.083333333333336,656.5625,-113.0625,112.58333333333333,30547,2.2,5.1,77.0,0.0
20200121,6800.25,1892.3541666666667,11990.166666666666,616.7083333333334,59.875,670.6666666666666,-143.29166666666666,112.1875,30548,-0.3,1.9,83.0,0.0
20200122,7045.895833333333,1917.7708333333333,11970.645833333334,594.6041666666666,40.708333333333336,670.0625,-134.52083333333334,111.04166666666667,30549,-3.2,1.8,93.0,0.0
20200123,7018.541666666667,1995.0,12031.979166666666,961.3541666666666,25.604166666666668,678.625,-123.5625,115.375,30550,-1.7,3.3,91.0,0.0
20200124,6791.666666666667,1848.8333333333333,11806.729166666666,249.39583333333334,40.958333333333336,663.0208333333334,-130.45833333333334,121.02083333333333,30551,0.6,1.9,92.0,0.0
20200125,6250.6875,1892.875,10978.604166666666,180.52083333333334,35.020833333333336,626.3958333333334,-76.875,123.8125,30552,2.5,1.4,90.0,0.0
20200126,5724.958333333333,1862.625,10606.1875,627.6875,42.1875,597.375,-109.47916666666667,122.54166666666667,30553,5.2,3.6,88.0,0.0
20200127,6322.395833333333,1603.6458333333333,11263.979166666666,2639.2708333333335,9.583333333333334,675.5,-131.47916666666666,120.95833333333333,30554,6.0,8.6,88.0,14.3
20200128,6441.833333333333,1589.7916666666667,11700.125,2912.875,27.729166666666668,733.4166666666666,-174.91666666666666,111.75,30555,4.3,9.5,82.0,6.4
20200129,6550.833333333333,1650.5416666666667,10579.270833333334,1982.8333333333333,26.6875,828.1666666666666,-147.375,111.6875,30556,3.8,5.3,86.0,3.0
20200130,6368.020833333333,1510.0416666666667,11695.416666666666,2020.1666666666667,24.854166666666668,844.0833333333334,-111.22916666666667,121.77083333333333,30557,6.6,6.4,89.0,2.8
20200131,5814.145833333333,1213.375,11216.75,1811.0208333333333,17.979166666666668,894.3958333333334,-139.52083333333334,120.64583333333333,30558,11.0,6.5,95.0,2.0
20200201,5211.104166666667,279.6666666666667,9515.895833333334,2657.625,11.875,910.1041666666666,-56.083333333333336,123.91666666666667,30559,10.5,7.8,89.0,18.5
20200202,4858.5625,280.0208333333333,8794.604166666666,2492.7291666666665,12.729166666666666,898.0416666666666,-127.3125,122.58333333333333,30560,11.3,7.0,92.0,33.3
20200203,5658.375,894.8125,10502.708333333334,1840.3333333333333,13.916666666666666,1059.9583333333333,-55.3125,120.8125,30561,10.0,6.2,88.0,8.2
20200204,6157.895833333333,1011.2291666666666,10911.041666666666,2353.3333333333335,34.479166666666664,998.0416666666666,-97.39583333333333,115.54166666666667,30562,4.3,6.3,82.0,0.6
20200205,6220.1875,1551.0208333333333,10989.4375,406.375,67.83333333333333,1031.375,-41.0,119.1875,30563,3.5,2.3,78.0,0.0
20200206,6349.354166666667,1744.6875,9517.375,501.3541666666667,77.4375,1113.5416666666667,-80.16666666666667,113.4375,30564,2.9,1.9,65.0,0.0
20200207,6387.791666666667,1761.0833333333333,9967.958333333334,1051.5416666666667,75.47916666666667,1120.7708333333333,-75.89583333333333,114.41666666666667,30565,2.5,2.0,72.0,0.0
20200208,5713.291666666667,911.1666666666666,9755.875,696.8958333333334,38.791666666666664,1069.0,-167.64583333333334,114.83333333333333,30566,6.4,3.4,73.0,0.0
20200209,5198.375,286.8958333333333,7376.416666666667,2698.4166666666665,38.020833333333336,1037.2916666666667,-132.39583333333334,113.625,30567,9.2,10.9,72.0,5.2
